"Story","Title","Result","Date","Stability","Duration (s)"
"Login to HRM","Login with valid credentials","SUCCESS","2023-02-10T12:07:33.5378115+05:30[Asia/Calcutta]","0.0","23.32"
"Login to OrangeHRM","Login with valid credentials","SUCCESS","2023-02-11T11:47:12.5654086+05:30[Asia/Calcutta]","0.0","21.17"
"Login to OrangeHRM","Login With Invalid Credentials","SUCCESS","2023-02-11T11:47:34.089566+05:30[Asia/Calcutta]","0.0","46.46"
"Login to OrangeHRM","Login With Invalid Credentials","SUCCESS","2023-02-11T11:47:34.089566+05:30[Asia/Calcutta]","0.0","46.46"
"Login to OrangeHRM","Login With Invalid Credentials","SUCCESS","2023-02-11T11:47:34.089566+05:30[Asia/Calcutta]","0.0","46.46"
"Login to OrangeHRM","Login with Blank Credentials","SUCCESS","2023-02-11T11:48:20.5636705+05:30[Asia/Calcutta]","0.0","40.83"
"Login to OrangeHRM","Login with Blank Credentials","SUCCESS","2023-02-11T11:48:20.5636705+05:30[Asia/Calcutta]","0.0","40.83"
"Login to OrangeHRM","Login with Blank Credentials","SUCCESS","2023-02-11T11:48:20.5636705+05:30[Asia/Calcutta]","0.0","40.83"
